Epoch,| bandwidth,d_loss,d_msstftd,adv_msstftd,feat_msstftd,l1,msspec,penalty,ratio1,g_loss,ratio2,mel,sisnr,adv,feat,duration,| sisnr,| duration
50,,,,,,,,,,,,,,,,115.286,-7.103,
50,,,,,,,,,,,,,,,,,,110.958
51,1.1,1.589,1.589,0.49,0.023,0.014,0.035,0.394,0.312,3.52,194.753,0.255,-5.977,0.49,0.023,1345.146,,
51,1.1,,,0.634,0.024,0.015,0.039,,,,,0.264,-6.129,0.634,0.024,159.708,,
52,1.1,1.587,1.587,0.49,0.024,0.014,0.035,0.395,0.311,3.509,193.497,0.254,-6.023,0.49,0.024,1340.269,,
52,1.1,,,0.505,0.024,0.015,0.039,,,,,0.265,-6.132,0.505,0.024,173.927,,
53,1.1,1.586,1.586,0.491,0.024,0.014,0.034,0.394,0.309,3.495,193.824,0.254,-6.051,0.491,0.024,1348.54,,
53,1.1,,,0.723,0.023,0.015,0.039,,,,,0.264,-6.149,0.723,0.023,163.207,,
54,1.1,1.584,1.584,0.492,0.024,0.014,0.034,0.392,0.308,3.475,195.478,0.253,-6.045,0.492,0.024,1346.78,,
54,1.1,,,0.517,0.024,0.015,0.039,,,,,0.263,-6.147,0.517,0.024,160.709,,
55,1.1,1.583,1.583,0.492,0.024,0.014,0.034,0.392,0.308,3.474,190.928,0.254,-6.075,0.492,0.024,1346.87,,
55,1.1,,,0.576,0.024,0.015,0.039,,,,,0.263,-6.172,0.576,0.024,169.809,,
56,1.1,1.582,1.582,0.493,0.024,0.014,0.034,0.39,0.304,3.442,196.68,0.253,-6.082,0.493,0.024,1342.456,,
56,1.1,,,0.637,0.024,0.015,0.039,,,,,0.263,-6.158,0.637,0.024,172.349,,
57,1.1,1.58,1.58,0.494,0.024,0.014,0.034,0.389,0.304,3.421,202.05,0.252,-6.105,0.494,0.024,1344.027,,
57,1.1,,,0.436,0.025,0.015,0.039,,,,,0.263,-6.182,0.436,0.025,164.386,,
58,1.1,1.579,1.579,0.495,0.024,0.014,0.034,0.39,0.304,3.41,197.427,0.251,-6.113,0.495,0.024,1345.138,,
58,1.1,,,0.49,0.025,0.015,0.039,,,,,0.263,-6.197,0.49,0.025,166.57,,
59,1.1,1.576,1.576,0.495,0.024,0.014,0.034,0.388,0.299,3.399,198.576,0.251,-6.175,0.495,0.024,1361.351,,
59,1.1,,,0.346,0.025,0.015,0.038,,,,,0.263,-6.201,0.346,0.025,159.105,,
60,1.1,1.575,1.575,0.497,0.025,0.014,0.034,0.387,0.299,3.38,199.786,0.25,-6.174,0.497,0.025,1344.105,,
60,1.1,,,0.463,0.025,0.015,0.038,,,,,0.262,-6.203,0.463,0.025,178.795,,
61,1.1,1.575,1.575,0.496,0.025,0.014,0.034,0.386,0.299,3.354,195.097,0.251,-6.172,0.496,0.025,1346.704,,
61,1.1,,,0.254,0.025,0.015,0.038,,,,,0.262,-6.229,0.254,0.025,175.915,,
62,1.1,1.571,1.571,0.498,0.025,0.014,0.034,0.388,0.3,3.365,200.608,0.25,-6.219,0.498,0.025,1387.927,,
